auction_id,name,level,vocation,vocation_base,world,sex,winning_bid,auction_end,items_count,store_items_count,skill_magic_level,max_combat_skill,has_golden_outfit,high_value_asset_score
2225777,Skadarn,8.0,Sorcerer,Sorcerer,Peloria,Male,501.0,2026-08-13 20:00:00+00:00,6.0,3.0,81.0,81.0,0.0,0.0
2227718,Fouraccessazz,785.0,Elite Knight,Knight,Quintera,Male,23001.0,2026-08-13 20:00:00+00:00,309.0,9.0,12.0,120.0,0.0,9.0
2227745,Prismello,744.0,Elder Druid,Druid,Peloria,Male,18000.0,2026-08-13 20:00:00+00:00,282.0,5.0,117.0,117.0,0.0,0.0
2227798,Bryce Cane,315.0,Elite Knight,Knight,Maligna,Male,5002.0,2026-08-13 20:15:00+00:00,413.0,2.0,9.0,92.0,0.0,2.0
2228780,Khaos Sagittarius,708.0,Royal Paladin,Paladin,Quelibra,Male,29001.0,2026-08-13 21:00:00+00:00,303.0,15.0,36.0,131.0,0.0,9.0
2229347,Tank Nizze,336.0,Elite Knight,Knight,Retalia,Male,1500.0,2026-08-13 22:00:00+00:00,235.0,3.0,10.0,100.0,0.0,2.0
2229119,Mestorek,162.0,Elite Knight,Knight,Belobra,Male,1201.0,2026-08-13 22:45:00+00:00,23.0,3.0,8.0,117.0,0.0,0.0
2225006,Dismiscosta Ein,82.0,Sorcerer,Sorcerer,Honbra,Male,101.0,2026-08-13 23:00:00+00:00,19.0,3.0,57.0,57.0,0.0,0.0
2227513,Noomad Baggins,931.0,Elite Knight,Knight,Etebra,Male,32001.0,2026-08-13 23:00:00+00:00,45.0,9.0,12.0,121.0,0.0,1.0
2227559,Meme Slowmotion,1110.0,Elite Knight,Knight,Cantabra,Male,76100.0,2026-08-13 23:00:00+00:00,218.0,11.0,12.0,127.0,0.0,3.0
2228272,Palatiel,1141.0,Royal Paladin,Paladin,Quelibra,Male,66103.0,2026-08-13 23:00:00+00:00,257.0,10.0,38.0,128.0,0.0,2.0
2228455,Airann,801.0,Elite Knight,Knight,Vunira,Male,15801.0,2026-08-13 23:00:00+00:00,457.0,12.0,12.0,120.0,0.0,0.0
2228764,Brozito Lindo,496.0,Elder Druid,Druid,Ombra,Male,4503.0,2026-08-13 23:00:00+00:00,448.0,3.0,104.0,104.0,0.0,0.0
2228834,Bankhe Guaicurus,273.0,Royal Paladin,Paladin,Collabra,Male,851.0,2026-08-13 23:00:00+00:00,201.0,3.0,28.0,116.0,0.0,0.0
2229016,So Uma Flechadinha,121.0,Royal Paladin,Paladin,Honbra,Male,501.0,2026-08-13 23:00:00+00:00,153.0,4.0,21.0,114.0,0.0,0.0
2229120,Pro Player Fake,159.0,Elite Knight,Knight,Honbra,Male,501.0,2026-08-13 23:00:00+00:00,103.0,8.0,9.0,113.0,0.0,0.0
2229289,Bigodon zimba,379.0,Royal Paladin,Paladin,Belobra,Male,1159.0,2026-08-13 23:00:00+00:00,218.0,5.0,28.0,107.0,0.0,2.0
2227073,Rainbow Toxic,179.0,Elite Knight,Knight,Blumera,Male,1001.0,2026-08-14 00:00:00+00:00,369.0,2.0,7.0,109.0,0.0,1.0
2228491,Mervel Sehairor,32.0,Elite Knight,Knight,Yubra,Male,501.0,2026-08-14 00:00:00+00:00,56.0,1.0,5.0,114.0,0.0,0.0
2228762,The Belzebazs,591.0,Elder Druid,Druid,Ourobra,Female,11006.0,2026-08-14 00:00:00+00:00,630.0,4.0,112.0,112.0,0.0,1.0
2228839,Mega tanker,48.0,Elite Knight,Knight,Tornabra,Male,201.0,2026-08-14 00:00:00+00:00,56.0,2.0,7.0,98.0,0.0,0.0
2229255,Bolt ada,490.0,Royal Paladin,Paladin,Ombra,Male,7201.0,2026-08-14 00:00:00+00:00,206.0,11.0,31.0,124.0,0.0,3.0
2229308,Poff Poff Paladin,55.0,Paladin,Paladin,Ombra,Male,80.0,2026-08-14 00:00:00+00:00,48.0,2.0,16.0,99.0,0.0,0.0
2229441,Dgio Ekbombinha,575.0,Elite Knight,Knight,Xybra,Male,4334.0,2026-08-14 00:00:00+00:00,98.0,9.0,11.0,104.0,0.0,1.0
2229447,Mind Vorap,175.0,Master Sorcerer,Sorcerer,Rasteibra,Male,393.0,2026-08-14 00:00:00+00:00,95.0,1.0,91.0,91.0,0.0,0.0
2227626,Lombroziio,77.0,Knight,Knight,Yonabra,Male,499.0,2026-08-14 00:15:00+00:00,15.0,4.0,7.0,116.0,0.0,0.0
2228502,Garga Xarlovin,745.0,Royal Paladin,Paladin,Xymera,Male,30001.0,2026-08-14 00:30:00+00:00,136.0,20.0,37.0,126.0,0.0,9.5
2229425,Monke Bonki,368.0,Monk,Monk,Belobra,Female,1800.0,2026-08-14 00:45:00+00:00,189.0,6.0,41.0,103.0,0.0,0.0
2227553,Mestre Garla,288.0,Royal Paladin,Paladin,Ferobra,Male,1500.0,2026-08-14 01:00:00+00:00,23.0,9.0,30.0,114.0,0.0,7.0
2227943,Zcash Primeiro,12.0,Knight,Knight,Belobra,Male,295.0,2026-08-14 01:00:00+00:00,17.0,2.0,2.0,110.0,0.0,0.0
2228098,Weakened Blade,145.0,Elite Knight,Knight,Honbra,Male,2223.0,2026-08-14 01:00:00+00:00,149.0,2.0,8.0,116.0,0.0,0.0
2228777,Fiottee,753.0,Paladin,Paladin,Gentebra,Male,15498.0,2026-08-14 01:00:00+00:00,930.0,2.0,36.0,124.0,0.0,0.0
2229139,Ek mace,146.0,Elite Knight,Knight,Yovera,Female,495.0,2026-08-14 01:00:00+00:00,174.0,7.0,8.0,106.0,0.0,2.0
2229486,Godlike Yasser,352.0,Paladin,Paladin,Solidera,Male,1601.0,2026-08-14 01:30:00+00:00,213.0,3.0,30.0,113.0,0.0,0.0
2225859,Darky Souls,403.0,Royal Paladin,Paladin,Inabra,Male,3079.0,2026-08-14 02:00:00+00:00,30.0,6.0,33.0,120.0,0.0,0.0
2229302,Forgath,744.0,Paladin,Paladin,Issobra,Male,18560.0,2026-08-14 02:00:00+00:00,392.0,10.0,36.0,123.0,0.0,2.0
2226693,Kewlpants Bruh,62.0,Elite Knight,Knight,Yovera,Male,1901.0,2026-08-14 04:00:00+00:00,226.0,2.0,7.0,116.0,0.0,0.0
2228943,Wezkley,265.0,Sorcerer,Sorcerer,Talera,Male,1781.0,2026-08-14 04:00:00+00:00,197.0,3.0,101.0,101.0,0.0,1.0
2229166,Levando Tralhas,15.0,Knight,Knight,Pacera,Male,135.0,2026-08-14 04:00:00+00:00,21.0,2.0,6.0,100.0,0.0,0.0
2219207,Creito the Crazy,340.0,Elite Knight,Knight,Quelibra,Male,1516.0,2026-08-14 05:00:00+00:00,289.0,4.0,10.0,111.0,0.0,2.0
2227476,Senhor Oxxy,776.0,Elite Knight,Knight,Blumera,Male,17328.0,2026-08-14 05:00:00+00:00,609.0,22.0,12.0,120.0,0.0,5.0
2228385,Monarch Suho,289.0,Exalted Monk,Monk,Wintera,Male,827.0,2026-08-14 05:00:00+00:00,357.0,1.0,40.0,104.0,0.0,0.0
2228629,El Cahuamo,1181.0,Royal Paladin,Paladin,Nefera,Male,60051.0,2026-08-14 05:00:00+00:00,572.0,10.0,38.0,130.0,0.0,2.0
2228523,Akaboy Here,660.0,Exalted Monk,Monk,Talera,Male,12999.0,2026-08-14 05:15:00+00:00,347.0,4.0,50.0,109.0,0.0,2.0
2224297,Bloodworn,373.0,Elite Knight,Knight,Secura,Male,4000.0,2026-08-14 07:45:00+00:00,360.0,4.0,10.0,123.0,0.0,2.0
2228037,Tabaruidun Arras,8.0,Monk,Monk,Antica,Male,101.0,2026-08-14 07:45:00+00:00,17.0,2.0,15.0,90.0,0.0,0.0
2228166,Benito Tuzza,93.0,Elite Knight,Knight,Antica,Male,681.0,2026-08-14 07:45:00+00:00,55.0,8.0,8.0,117.0,0.0,0.0
2229544,Alexios Crow Bolt,58.0,Royal Paladin,Paladin,Venebra,Female,201.0,2026-08-14 07:45:00+00:00,127.0,2.0,19.0,104.0,0.0,0.0
2206020,Stiviposka,556.0,Master Sorcerer,Sorcerer,Serdebra,Male,4501.0,2026-08-14 08:00:00+00:00,287.0,2.0,103.0,103.0,0.0,0.0
2206039,Nhepepe,208.0,Royal Paladin,Paladin,Gladera,Female,509.0,2026-08-14 08:00:00+00:00,307.0,5.0,28.0,116.0,0.0,1.0
2206574,Chaos Piercer,28.0,Royal Paladin,Paladin,Astera,Male,102.0,2026-08-14 08:00:00+00:00,90.0,2.0,9.0,105.0,0.0,0.0
2218017,Zerikanski Kusznik,21.0,Royal Paladin,Paladin,Nevia,Female,250.0,2026-08-14 08:00:00+00:00,19.0,1.0,20.0,104.0,0.0,0.0
2219808,Jhon Fiire,292.0,Master Sorcerer,Sorcerer,Antica,Male,1768.0,2026-08-14 08:00:00+00:00,185.0,2.0,95.0,95.0,0.0,0.0
2223495,Palmmerro,65.0,None,None,Thyria,Male,806.0,2026-08-14 08:00:00+00:00,27.0,0.0,2.0,27.0,0.0,0.0
2223752,Willian Renan,25.0,Paladin,Paladin,Ourobra,Male,57.0,2026-08-14 08:00:00+00:00,31.0,6.0,10.0,99.0,0.0,1.0
2225421,King Momo,466.0,Elder Druid,Druid,Secura,Male,4501.0,2026-08-14 08:00:00+00:00,2.0,14.0,106.0,106.0,0.0,4.0
2225573,We ro,725.0,Elder Druid,Druid,Havera,Male,15501.0,2026-08-14 08:00:00+00:00,400.0,8.0,114.0,114.0,0.0,1.0
2225723,Grav Buddha,351.0,Exalted Monk,Monk,Solidera,Male,15001.0,2026-08-14 08:00:00+00:00,330.0,7.0,48.0,120.0,0.0,2.0
2226034,Zoradicus Flizoruzin,796.0,Elder Druid,Druid,Celesta,Female,16001.0,2026-08-14 08:00:00+00:00,375.0,13.0,121.0,121.0,0.0,5.5
2226080,Shiiwe,1033.0,Royal Paladin,Paladin,Yonabra,Male,31001.0,2026-08-14 08:00:00+00:00,551.0,4.0,35.0,127.0,0.0,0.0
