feature,importance
level,0.9067793246352511
skill_shielding,0.048785004959001614
primary_combat_skill,0.009723060121757351
max_combat_skill,0.007903032363180297
knight_melee,0.0025733427984378126
build_quality_score,0.0022534789864455482
high_value_asset_score,0.002110715597309015
items_count,0.0017068140924596826
charm_points_total,0.0014999389761924992
skill_to_level_ratio,0.0014240413624763365
skill_magic_level,0.0013110558951108394
mage_ml,0.0012757776919870548
hunting_task_points,0.0011862547192684047
skill_fist_fighting,0.0011265374806694332
ml_excess_vs_level,0.0009075456060463447
gold,0.0008733979942184169
achievement_points,0.0007721064802550618
store_items_count,0.000715102643571598
daily_reward_streak,0.0007012160554792748
ml_to_level_ratio,0.0005872925170833799
skill_distance_fighting,0.0005613033868235902
exalted_dust,0.0005382195488668255
n_quest_lines,0.00048157557704125087
n_high_value_hits,0.00042867539716043133
skill_sword_fighting,0.00042202161314539314
transfer_on_cooldown,0.00041004624697209437
animus_masteries,0.0004013002810786536
skill_club_fighting,0.0003708425235742647
boss_points,0.000320495880116344
permanent_prey_slots,0.00020571431188501533
skill_axe_fighting,0.00019453837622953972
paladin_distance,0.00019137649798652346
world_OTHER,0.0001788903245269708
mounts_count,0.00016130610053254315
world_Secura,9.98402123325534e-05
outfits_count,8.956815678175698e-05
n_major_charms,8.336249004244878e-05
n_charms,7.653915417769335e-05
has_cobra_gear,7.632090508313077e-05
mage_ml_to_level,7.23636195956536e-05
hirelings,6.986093015266908e-05
permanent_weekly_task_expansion,4.8622391887110005e-05
voc_Druid,4.798287853725754e-05
voc_Paladin,4.5230160603931655e-05
has_gold_pouch,4.297781214367497e-05
n_minor_charms,3.180407389771284e-05
has_reward_shrine,2.580136667303891e-05
has_exercise_dummy,2.2991821981616643e-05
is_promoted,1.8128114853316778e-05
store_outfits_count,1.3664396538075659e-05
charm_expansion,1.1446471076724473e-05
has_imbuing_shrine,1.0334369660853168e-05
voc_Sorcerer,8.195895889743588e-06
store_mounts_count,7.67371479010488e-06
sex_Female,4.9574071105595024e-06
voc_Monk,4.532395074163939e-06
sex_Male,3.5498138508987976e-06
voc_Knight,2.2646038581490178e-06
familiars_count,6.398012667864959e-07
has_gilded_imbuing_shrine,0.0
has_golden_outfit_display,0.0
has_transfer_info,0.0
n_high_value_store_outfits,0.0
has_premium_scroll,0.0
liquidity_haircut,0.0
has_golden_outfit,0.0
has_gold_converter,0.0
has_mailbox,0.0
has_falcon_gear,0.0
voc_None,0.0
world_Dia,0.0
world_Ferobra,0.0
world_Gentebra,0.0
world_Havera,0.0
world_Antica,0.0
world_Belobra,0.0
world_Bona,0.0
world_Celesta,0.0
world_Lobera,0.0
world_Kalibra,0.0
world_Inabra,0.0
world_Honbra,0.0
world_Peloria,0.0
world_Quelibra,0.0
world_Nevia,0.0
world_Monza,0.0
world_Rasteibra,0.0
world_Quidera,0.0
world_Serdebra,0.0
world_Solidera,0.0
world_Thyria,0.0
world_Talera,0.0
world_Wintera,0.0
world_Vunira,0.0
