auction_id,name,level,vocation,sex,world,auction_start,auction_end,bid_type,bid,status,detail_url,highlights
2225777,Skadarn,8,Sorcerer,Male,Peloria,"Aug 08 2026, 10:04 CEST","Aug 13 2026, 22:00 CEST",Winning Bid,501,finished,https://www.tibia.com/charactertrade/?auctionid=2225777&page=details&subtopic=pastcharactertrades,3920x an ultimate mana potion (Store Item) | Regular World Transfer can be purchased | 81 Magic Level (Loyalty bonus not included) | Daily Reward Streak: 576/7
2227718,Fouraccessazz,785,Elite Knight,Male,Quintera,"Aug 10 2026, 10:06 CEST","Aug 13 2026, 22:00 CEST",Winning Bid,23001,finished,https://www.tibia.com/charactertrade/?auctionid=2227718&page=details&subtopic=pastcharactertrades,"1x a gold pouch (Store Item) | 1x a ferumbras exercise dummy (Store Item) | Additional Slots: Prey, Weekly Tasks | Charm Points: 6970 (Unused: 210), Minor Charm Echoes: 950 (Unused: 100) | Exalted Dust/Dust Limit: 78/4340"
2227745,Prismello,744,Elder Druid,Male,Peloria,"Aug 10 2026, 10:04 CEST","Aug 13 2026, 22:00 CEST",Winning Bid,18000,finished,https://www.tibia.com/charactertrade/?auctionid=2227745&page=details&subtopic=pastcharactertrades,"117 Magic Level (Loyalty bonus not included) | Charm Points: 9081 (Unused: 581), Minor Charm Echoes: 1350 (Unused: 50) | Regular World Transfer can be purchased | 22 Quests completed"
2228681,Fystic,615,Exalted Monk,Male,Refugia,"Aug 12 2026, 10:04 CEST","Aug 13 2026, 22:00 CEST",Winning Bid,6957,finished,https://www.tibia.com/charactertrade/?auctionid=2228681&page=details&subtopic=pastcharactertrades,"1x a gold pouch (Store Item) | Animus Masteries unlocked: 146 | 112 Fist Fighting (Loyalty bonus not included) | Additional Slots: Prey, Weekly Tasks | 47 Magic Level (Loyalty bonus not included)"
2228736,Denya Shin,465,Knight,Male,Secura,"Aug 12 2026, 12:58 CEST","Aug 13 2026, 22:00 CEST",Winning Bid,3901,finished,https://www.tibia.com/charactertrade/?auctionid=2228736&page=details&subtopic=pastcharactertrades,"Charm Points: 4953 (Unused: 1553), Minor Charm Echoes: 850 (Unused: 850) | 465 Level | 19 Quests completed | Store Mounts: 1 | 116 Axe Fighting (Loyalty bonus not included)"
2228773,Gizanuv,389,Knight,Male,Pacera,"Aug 12 2026, 10:05 CEST","Aug 13 2026, 22:00 CEST",Winning Bid,1251,finished,https://www.tibia.com/charactertrade/?auctionid=2228773&page=details&subtopic=pastcharactertrades,
2229098,Infernal Gooyo,839,Royal Paladin,Male,Secura,"Aug 12 2026, 12:58 CEST","Aug 13 2026, 22:00 CEST",Minimum Bid,18500,finished,https://www.tibia.com/charactertrade/?auctionid=2229098&page=details&subtopic=pastcharactertrades,"1x a demon exercise dummy (Store Item) | 103x carrion casserole (Store Item) | 1x a gold pouch (Store Item) | Unused Hunting Task Points: 33870 | Hirelings total: 1, Professions: 1, Outfits: 0"
2229287,Muti Elite,103,Knight,Male,Celesta,"Aug 12 2026, 10:04 CEST","Aug 13 2026, 22:00 CEST",Minimum Bid,1200,finished,https://www.tibia.com/charactertrade/?auctionid=2229287&page=details&subtopic=pastcharactertrades,Regular World Transfer can be purchased | 119 Sword Fighting (Loyalty bonus not included) | 103 Level | 112 Shielding (Loyalty bonus not included)
2227798,Bryce Cane,315,Elite Knight,Male,Maligna,"Aug 11 2026, 10:28 CEST","Aug 13 2026, 22:15 CEST",Winning Bid,5002,finished,https://www.tibia.com/charactertrade/?auctionid=2227798&page=details&subtopic=pastcharactertrades,"987x a supreme health potion (Store Item) | Achievement ""Honorary Gnome"" accomplished | 135 Achievement Points | 92 Club Fighting (Loyalty bonus not included)"
2229044,Pai Damata,354,Elder Druid,Male,Ferobra,"Aug 12 2026, 10:07 CEST","Aug 13 2026, 22:15 CEST",Minimum Bid,3497,finished,https://www.tibia.com/charactertrade/?auctionid=2229044&page=details&subtopic=pastcharactertrades,"Store Outfits: 2 | 105 Magic Level (Loyalty bonus not included) | Achievement ""I Did My Part"" accomplished"
